Ev Sahibi,Deplasman Takımı,Ev IY,Dep IY,Ev MS,Dep MS,Ev Oran,Beraberlik Oran,Dep Oran,Mac Sonucu,ALT-UST
San Luis , Pachuca,1,1,2,2,3.4,3.0,2.03,0,UST
Nashville SC , Atlanta Utd,0,2,2,2,2.03,3.05,3.3,0,UST
Minnesota Utd , Colorado Rapids,1,1,2,1,1.87,3.5,3.4,1,UST
Bragantino , Atl Mineiro,1,0,1,1,3.3,3.0,2.03,0,UST
NE Revolution , FC Cincinnati,2,1,5,1,1.28,5.0,8.0,1,UST
Elche , Atletico Madrid,0,1,0,2,5.8,3.6,1.5,2,UST
Wolverhampton , Manchester City,1,3,1,5,6.5,5.8,1.25,2,UST
Nantes , Rennes,1,1,2,1,5.2,4.2,1.45,1,UST
Juventus , Inter,0,1,2,2,3.2,3.2,2.0,0,UST
Leicester , Norwich,0,0,3,0,1.28,5.2,7.5,1,UST
Watford , Everton,0,0,0,0,5.5,3.6,1.53,0,ALT
Sevilla , Mallorca,0,0,0,0,1.5,3.6,5.8,0,ALT
Leeds , Chelsea,0,1,0,3,4.5,4.1,1.53,2,UST
Twente Enschede , Groningen,1,0,3,0,1.45,3.9,6.0,1,UST
Cambuur , Willem II,1,0,1,1,2.75,3.3,2.2,0,UST
Sparta Rotterdam , Zwolle,2,0,2,0,2.25,3.1,2.8,1,UST
Fortuna Sittard , Vitesse Arnhem,1,1,1,2,2.6,3.2,2.35,2,UST
PSV , Nijmegen,2,0,3,2,1.12,7.0,11.0,1,UST
Waalwijk , Heracles,1,0,2,0,2.1,3.1,3.1,1,UST
Ajax , Heerenveen,3,0,5,0,1.09,8.0,13.0,1,UST
Go Ahead Eagles , Feyenoord,0,0,0,1,4.8,4.0,1.5,2,ALT
Utrecht , Alkmaar,1,2,2,2,2.75,3.5,2.1,0,UST
AIK Stockholm , Malmo,1,0,2,0,2.25,2.9,3.0,1,UST
Nice , St Etienne,0,2,4,2,1.42,4.1,6.0,1,UST
Osasuna , Getafe,1,1,1,1,2.45,2.55,3.1,0,UST
Alaves , Espanyol,1,1,2,1,1.95,3.3,3.3,1,UST
Molde , Odd BK,2,0,3,0,1.33,4.5,7.5,1,UST
Negeri Sembilan , Darul Takzim FC,0,0,0,1,9.0,4.7,1.25,2,ALT
Pahang , Sarawak United,1,0,1,2,1.58,3.7,4.5,2,UST
Malaysia U23 , Laos U23,2,0,3,1,1.05,9.0,13.0,1,UST
Cambodia U23 , Singapore U23,0,1,0,1,1.75,3.5,3.5,2,ALT
Los Angeles FC , Portland T,1,0,2,0,1.37,4.4,6.0,1,UST
Sporting KC , FC Dallas,0,2,2,2,2.75,3.2,2.25,0,UST
DC United , NY Red Bulls,0,1,0,3,4.5,3.6,1.6,2,UST
Orlando City , Philadelphia U,0,0,2,1,1.8,3.5,3.6,1,UST
Barcelona , Celta de Vigo,2,0,3,1,1.37,4.5,6.5,1,UST
Aston Villa , Liverpool,1,1,1,2,5.2,4.1,1.45,2,UST
Granada , Athletic Bilbao,1,0,1,0,3.5,3.1,1.97,1,ALT
Valencia , Real Betis,0,0,0,3,3.2,3.1,2.05,2,UST
Petaling Jaya , Kedah,1,2,3,3,3.4,3.5,1.82,0,UST
Kuala Lumpur , Penang,1,0,3,2,1.58,3.6,4.8,1,UST
Myanmar U23 , Philippines U23,1,2,3,2,3.8,3.4,1.7,1,UST
Union La Calera , Audax Italiano,1,0,1,0,2.35,3.0,2.75,1,ALT
Avai , Coritiba,0,0,2,1,2.4,2.9,2.75,1,UST
Curico Unido , Colo Colo,0,2,1,2,4.3,3.4,1.67,2,UST
Cobresal , Everton VDM,0,0,0,0,1.9,3.1,3.6,0,ALT
Fiorentina , Roma,2,0,2,0,2.55,3.05,2.5,1,UST
Sheffield Wed , Sunderland,0,0,1,1,1.9,3.2,3.5,0,ALT
Elfsborg , Djurgarden,0,0,0,0,2.03,3.3,3.05,0,ALT
Helsingborg , Norrkoping,0,0,0,1,3.3,3.3,1.95,2,ALT
Sundsvall , Degerfors,0,0,2,3,2.4,3.4,2.45,2,UST
Varnamo , BK Hacken,1,1,1,2,3.05,3.2,2.05,2,UST
Thailand U23 , Singapore U23,1,0,5,0,1.2,5.5,7.5,1,UST
Melbourne City , Wellington,2,0,2,1,1.2,6.5,8.0,1,UST
Laos U23 , Cambodia U23,0,2,1,4,2.7,3.3,2.1,2,UST
Coquimbo Unido , Huachipato,1,1,1,2,2.35,2.95,2.8,2,UST
Austin FC , LA Galaxy,0,1,0,1,2.35,3.1,2.65,2,ALT
Puebla , Mazatlan,2,1,2,2,1.75,3.3,4.0,0,UST
Fortaleza , Sao Paulo,0,0,1,1,2.35,2.8,2.95,0,ALT
Juventude , Internacional,0,0,1,1,2.6,2.75,2.65,0,ALT
Nublense , Univ Catolica,3,0,4,0,1.97,3.2,3.3,1,UST
Nashville SC , Real Salt Lake,0,0,2,0,1.6,3.5,4.8,1,ALT
Santos , Cuiaba,2,1,4,1,1.82,2.9,4.4,1,UST
Bragantino , Corinthians,0,0,0,1,2.35,2.95,2.8,2,ALT
Vancouver W , Toronto FC,0,0,1,0,1.67,3.5,4.1,1,ALT
Atletico Madrid , Real Madrid,1,0,1,0,1.85,3.5,3.4,1,ALT
Goianiense , Goias Esporte,0,1,0,1,1.7,3.2,4.5,2,ALT
Palmeiras , Fluminense,0,0,1,1,1.42,3.9,6.5,0,ALT
Paris SG , Troyes,2,1,2,2,1.12,7.5,12.0,0,UST
Verona , Milan,1,1,1,3,4.5,3.6,1.6,2,UST
Hamarkameratene , Aalesund,0,0,0,0,2.2,3.3,2.75,0,ALT
RB Leipzig , Augsburg,1,0,4,0,1.18,5.8,10.0,1,UST
MK Dons , Wycombe,1,0,1,0,1.97,3.2,3.3,1,ALT
Espanyol , Osasuna,0,1,1,1,2.25,3.0,2.9,0,UST
Sandefjord , Valerenga,0,2,1,3,2.4,3.3,2.5,2,UST
Jerv , Tromso,1,1,1,1,3.05,3.1,2.1,0,UST
Stromsgodset , Rosenborg,3,0,3,0,2.65,3.1,2.35,1,UST
Bodo Glimt , Lillestrom,0,1,1,1,1.65,4.0,3.7,0,UST
Haugesund , Kristiansund,1,0,2,0,1.92,3.4,3.2,1,UST
Salernitana , Cagliari,0,0,1,1,2.35,2.8,2.95,0,ALT
Palestino Chile , Antofagasta,1,0,1,0,1.7,3.4,4.1,1,ALT
Bayern Munich , Stuttgart,2,1,2,2,1.22,5.5,8.5,0,UST
