Ev Sahibi,Deplasman Takımı,Ev IY,Dep IY,Ev MS,Dep MS,Ev Oran,Beraberlik Oran,Dep Oran,Mac Sonucu,ALT-UST
Club Leon , Toluca,3,3,4,4,1.37,4.8,5.5,0,UST
Internacional , Avai,0,0,0,0,1.5,3.6,6.0,0,ALT
San Luis , Santos Laguna,0,0,1,3,2.3,3.05,2.75,2,UST
Nashville SC , Philadelphia U,0,0,1,1,2.4,2.8,2.85,0,ALT
Barcelona , Mallorca,1,0,2,1,1.18,6.0,10.0,1,UST
Coritiba , Fluminense,0,2,3,2,2.4,2.8,2.85,1,UST
Corinthians , Fortaleza,0,0,1,0,1.75,3.1,4.4,1,ALT
Marseille , Lyon,0,0,0,3,2.25,3.2,2.7,2,UST
Roma , Bologna,0,0,0,0,1.42,3.9,6.5,0,ALT
Waalwijk , Groningen,3,0,3,1,2.55,3.0,2.5,1,UST
NY City FC , San Jose Quakes,0,0,3,0,1.35,4.7,6.0,1,UST
UNAM Mexico , Pachuca,0,0,2,0,3.05,3.3,2.03,1,ALT
Vallecano , Sociedad,0,1,1,1,3.4,2.95,2.05,0,UST
Udinese , Inter,0,2,1,2,5.5,4.3,1.42,2,UST
BK Hacken , Varbergs,2,0,3,1,1.45,3.9,5.8,1,UST
Sundsvall , AIK Stockholm,0,0,0,2,5.0,3.8,1.53,2,ALT
West Ham , Arsenal,1,1,1,2,4.5,3.8,1.58,2,UST
Bordeaux , Nice,0,0,0,1,2.95,3.2,2.1,2,ALT
Fortuna Sittard , Feyenoord,0,2,1,3,8.0,5.2,1.27,2,UST
Granada , Celta de Vigo,0,0,1,1,2.65,3.0,2.45,0,ALT
Botafogo , Juventude,0,0,1,1,1.87,3.05,3.8,0,ALT
Bodo Glimt , Molde,0,0,0,1,1.97,3.3,3.2,2,ALT
Jeonbuk , Yokohama FM,1,1,1,1,3.7,3.9,1.67,0,UST
Lorient , Reims,1,1,1,2,2.05,3.1,3.2,2,UST
Montpellier , Metz,0,1,2,2,1.75,3.5,3.8,0,UST
Brest , Clermont,0,0,2,0,2.55,3.0,2.5,1,ALT
Monaco , Angers SCO,1,0,2,0,1.28,5.0,8.0,1,UST
Mjallby AIF , Helsingborg,1,1,2,1,2.1,2.9,3.3,1,UST
Degerfors , Elfsborg,0,4,0,6,4.1,3.8,1.63,2,UST
Empoli , Torino,0,0,1,3,2.6,3.2,2.35,2,UST
Milan , Fiorentina,0,0,1,0,1.53,3.8,5.0,1,ALT
Tottenham , Leicester,1,0,3,1,1.3,5.0,6.5,1,UST
Everton , Chelsea,0,0,1,0,4.1,3.5,1.7,1,ALT
PSV , Willem II,3,1,4,2,1.09,8.5,13.0,1,UST
Go Ahead Eagles , Vitesse Arnhem,1,1,1,2,2.65,2.95,2.45,2,UST
Elche , Osasuna,0,0,1,1,2.55,2.8,2.7,0,ALT
Troyes , Lille,1,0,3,0,3.05,3.05,2.15,1,UST
Kitchee , Vissel Kobe,1,1,2,2,4.7,2.85,1.8,0,UST
Juventus , Venezia,1,0,2,1,1.22,5.2,10.0,1,UST
Vegalta Sendai , Blaublitz Akita,1,1,3,1,1.77,3.2,4.0,1,UST
Macarthur , Newcastle Jets,0,1,0,3,1.9,3.6,3.4,2,UST
M Yamagata , Varen Nagasaki,1,0,2,0,2.05,3.1,3.2,1,UST
Machida Zelvia , Tokushima V,0,0,0,2,2.2,2.7,3.4,2,ALT
Z Kanazawa , Omiya Ardija,0,1,1,2,2.0,3.1,3.3,2,UST
Thespa Kusatsu , FC Yokohama,0,3,3,3,4.5,3.4,1.65,0,UST
Fagiano Okayama , Tokyo Verdy,0,0,2,1,2.45,3.0,2.6,1,UST
Grulla Morioka , Roasso Kumamoto,0,1,1,2,2.8,2.9,2.4,2,UST
Club America , Cruz Azul,0,0,0,0,1.67,3.3,4.5,0,ALT
Colorado Rapids , Portland T,1,0,2,0,1.63,3.5,4.5,1,UST
Sporting KC , FC Dallas,1,2,2,2,2.2,3.1,2.85,0,UST
Chicago Fire , NY Red Bulls,1,0,1,2,3.1,3.1,2.1,2,UST
Monterrey , Tijuana,1,0,2,0,1.42,4.1,6.0,1,UST
Club Atlas , Tigres UANL,0,0,1,1,2.1,2.95,3.3,0,ALT
NE Revolution , Inter Miami,1,0,2,0,1.4,4.2,6.5,1,UST
Columbus Crew , DC United,2,0,3,0,1.85,3.4,3.5,1,UST
Orlando City , Charlotte FC,2,0,2,1,1.87,3.2,3.7,1,UST
Cuiaba , Goianiense,0,1,1,1,2.2,2.8,3.2,0,UST
Queretaro , Juarez,2,0,4,0,1.82,3.2,3.8,1,UST
Goias Esporte , Atl Mineiro,0,1,2,2,7.0,3.8,1.42,0,UST
Montreal Impact , Atlanta Utd,1,0,2,1,2.1,3.05,3.1,1,UST
Real Salt Lake , LA Galaxy,0,0,1,0,2.35,3.1,2.65,1,ALT
America Mineiro , Atl Paranaense,0,0,1,0,1.9,2.95,3.9,1,ALT
Ceara , Bragantino,0,1,0,1,1.95,3.1,3.5,2,ALT
Toronto FC , FC Cincinnati,0,1,1,2,1.75,3.7,3.6,2,UST
Athletic Bilbao , Atletico Madrid,1,0,2,0,2.7,2.7,2.6,1,UST
Rennes , St Etienne,1,0,2,0,1.25,5.0,9.5,1,UST
Sparta Rotterdam , Alkmaar,0,0,1,1,4.3,3.2,1.72,0,ALT
Spezia , Lazio,2,1,3,4,6.5,4.3,1.37,2,UST
Heracles , Twente Enschede,1,1,1,1,3.2,3.1,2.03,0,UST
Houston Dynamo , Austin FC,1,1,1,2,2.2,3.3,2.7,2,UST
Ajax , Zwolle,1,0,3,0,1.13,7.0,10.0,1,UST
Hoffenheim , Freiburg,1,1,3,4,2.2,3.4,2.7,2,UST
Leeds , Manchester City,0,1,0,4,9.5,5.5,1.22,2,UST
Valencia , Levante,1,0,1,1,2.0,3.1,3.3,0,UST
Sampdoria , Genoa,1,0,1,0,2.65,2.8,2.55,1,ALT
Viking FK , Haugesund,2,1,5,1,1.42,4.5,5.2,1,UST
Antofagasta , O'Higgins,0,0,1,0,2.3,3.0,2.8,1,ALT
Lens , Nantes,0,2,2,2,1.58,3.7,4.5,0,UST
Real Madrid , Espanyol,2,0,4,0,1.4,4.3,6.0,1,UST
Aston Villa , Norwich,1,0,2,0,1.4,4.3,6.0,1,UST
Southampton , Crystal Palace,1,0,1,2,2.3,2.95,2.85,2,UST
Watford , Burnley,1,0,1,2,2.45,3.2,2.5,2,UST
Wolverhampton , Brighton,0,1,0,3,2.6,2.7,2.7,2,UST
Nottingham , Swansea,1,1,5,1,1.37,4.2,7.0,1,UST
Reading , West Bromwich,0,0,0,1,2.9,3.1,2.2,2,ALT
Middlesbrough , Stoke City,2,0,3,1,1.65,3.5,4.4,1,UST
Millwall , Peterborough,0,0,3,0,1.42,4.1,6.0,1,UST
Bristol City , Hull City,3,0,5,0,2.03,3.3,3.05,1,UST
Coventry , Huddersfield,0,1,1,2,2.05,3.2,3.05,2,UST
Blackpool , Derby,0,0,0,2,1.75,3.3,4.0,2,ALT
Blackburn , Bournemouth,0,1,0,3,3.0,3.2,2.1,2,UST
Cardiff , Birmingham,0,1,1,1,2.15,3.1,3.0,0,UST
Stuttgart , Wolfsburg,0,1,1,1,1.85,3.4,3.6,0,UST
Bielefeld , Hertha Berlin,0,0,1,1,2.55,3.0,2.5,0,ALT
Augsburg , Cologne,0,2,1,4,2.8,3.3,2.15,2,UST
Dortmund , Bochum,2,2,3,4,1.33,4.8,6.5,2,UST
Mainz , Bayern Munich,2,1,3,1,4.1,4.1,1.58,1,UST
Djurgarden , Sirius,2,0,4,0,1.4,4.2,6.5,1,UST
Cagliari , Verona,0,2,1,2,2.45,3.0,2.6,2,UST
Napoli , Sassuolo,4,0,6,1,1.33,5.0,6.5,1,UST
Alaves , Villarreal,2,0,2,1,3.1,3.1,2.1,1,UST
Newcastle , Liverpool,0,1,0,1,5.8,3.9,1.48,2,ALT
Burton Albion , Wycombe,0,1,1,2,4.5,3.9,1.55,2,UST
Shrewsbury , Wigan,0,1,0,3,3.9,3.1,1.82,2,UST
Morecambe , Sunderland,0,1,0,1,4.5,3.8,1.58,2,ALT
Lincoln City , Crewe Alexandra,0,1,2,1,1.55,3.9,4.5,1,UST
Ipswich , Charlton,2,0,4,0,1.75,3.4,3.9,1,UST
Gillingham , Rotherham,0,1,0,2,4.8,3.6,1.58,2,UST
Sheffield Wed , Portsmouth,3,1,4,1,1.42,4.0,6.5,1,UST
Plymouth , MK Dons,0,3,0,5,2.7,3.3,2.2,2,UST
Bolton , Fleetwood,1,1,4,2,2.03,3.3,3.05,1,UST
Oxford United , Doncaster,1,0,1,1,1.33,5.0,6.5,0,UST
Cambridge , Cheltenham,1,1,2,2,3.1,3.5,1.95,0,UST
AFC Wimbledon , Accrington,0,3,3,4,3.1,3.6,1.9,2,UST
Barnsley , Preston,1,1,1,3,4.8,3.7,1.55,2,UST
L City Sailors , Daegu,1,0,1,2,5.5,4.7,1.37,2,UST
Bangkok Glass , Jeonnam,0,0,0,0,1.65,3.3,4.7,0,ALT
Perth Glory , Western Sydney,1,0,1,1,3.4,3.4,1.9,0,UST
Adelaide , Brisbane Roar,2,0,2,0,2.0,3.4,3.1,1,UST
Darul Takzim FC , Ulsan,1,1,2,1,4.4,3.8,1.58,1,UST
FC Ryukyu , Albirex Niigata,1,1,1,1,4.4,3.4,1.65,0,UST
Mito Hollyhock , Ventforet Kofu,2,0,2,1,3.7,3.1,1.87,1,UST
Central Coast , Western United,0,0,1,0,2.0,3.5,3.1,1,ALT
R Yamaguchi , Tochigi SC,0,0,2,1,2.1,2.55,3.9,1,UST
JEF Utd Chiba , Oita Trinita,0,1,0,3,1.77,2.9,4.7,2,UST
Mazatlan , Puebla,0,0,2,1,2.1,2.95,3.2,1,UST
Necaxa , Guadalajara,0,0,0,1,2.3,2.75,3.1,2,ALT
Sevilla , Cadiz,1,0,1,1,1.37,3.9,7.5,0,UST
Strasbourg , Paris SG,1,1,3,3,3.4,3.7,1.85,0,UST
QPR , Sheffield Utd,1,0,1,3,4.8,3.6,1.58,2,UST
Union Berlin , Greuther Furth,0,1,1,1,1.2,4.8,11.0,0,UST
Utrecht , Nijmegen,0,0,1,0,1.6,3.7,4.4,1,ALT
Audax Italiano , Univ de Chile,0,0,2,0,2.65,2.85,2.55,1,ALT
Selangor , Pahang,1,0,3,1,1.5,3.8,5.0,1,UST
FC Tokyo , Gamba Osaka,1,0,2,0,1.6,3.4,5.0,1,UST
Melbourne Vict , Wellington,1,1,3,1,1.5,4.3,4.8,1,UST
Kashiwa Reysol , Sagan Tosu,0,2,1,4,2.6,2.65,2.75,2,UST
Cerezo Osaka , Kashima Antlers,0,2,0,3,2.6,3.0,2.45,2,UST
Kyoto Sanga , Avispa Fukuoka,0,1,0,1,2.55,2.7,2.75,2,ALT
Shimizu S Pulse , S Hiroshima,1,0,2,2,4.0,3.0,1.85,0,UST
C Sapporo , Shonan Bellmare,0,0,1,0,1.97,3.05,3.3,1,ALT
RB Leipzig , Glasgow Rangers,0,0,1,0,1.35,4.3,6.5,1,ALT
West Ham , E Frankfurt,1,1,1,2,1.92,3.4,3.3,2,UST
Manchester Utd , Chelsea,0,0,1,1,2.95,3.6,2.05,0,ALT
Lillestrom , Aalesund,2,0,2,0,1.65,3.7,4.1,1,UST
Sydney FC , Jeonbuk,1,0,2,3,3.2,3.2,2.0,2,UST
Chiangrai Utd , Kitchee,1,0,2,3,2.5,2.85,2.7,2,UST
Jubilo Iwata , Nagoya Grampus,0,1,2,1,3.6,3.0,1.97,1,UST
Liverpool , Villarreal,0,0,2,0,1.23,5.2,9.0,1,ALT
Middlesbrough , Cardiff,1,0,2,0,1.48,4.0,5.5,1,UST
Atalanta , Torino,2,2,4,4,1.45,3.9,5.8,0,UST
Bologna , Inter,1,1,2,1,7.5,5.2,1.28,1,UST
Fiorentina , Udinese,0,2,0,4,1.53,3.7,5.2,2,UST
Urawa Reds , L City Sailors,2,0,6,0,1.09,8.0,13.0,1,UST
Melbourne City , Bangkok Glass,0,0,0,0,2.2,3.1,2.85,0,ALT
Ventforet Kofu , Tokyo Verdy,1,0,2,0,2.75,3.2,2.25,1,UST
Incheon , Gwangju FC,0,3,1,6,2.35,2.8,2.95,2,UST
FC Ryukyu , Z Kanazawa,0,1,1,1,4.1,3.3,1.72,0,UST
Roasso Kumamoto , Vegalta Sendai,0,1,0,2,2.7,3.2,2.25,2,UST
Oita Trinita , Tochigi SC,0,0,0,0,1.92,2.8,4.1,0,ALT
Omiya Ardija , Thespa Kusatsu,0,2,3,2,2.4,2.8,2.85,1,UST
JEF Utd Chiba , R Yamaguchi,2,0,2,0,1.58,3.2,6.0,1,UST
Varen Nagasaki , Mito Hollyhock,1,0,1,0,2.03,3.05,3.3,1,ALT
FC Yokohama , Machida Zelvia,1,0,1,1,2.6,2.9,2.5,0,UST
Tokushima V , M Yamagata,0,0,0,1,2.25,2.85,3.0,2,ALT
Albirex Niigata , Grulla Morioka,1,0,2,0,1.37,3.9,7.5,1,UST
Blaublitz Akita , Fagiano Okayama,0,1,0,1,3.7,2.75,2.05,2,ALT
Ulsan , Kawasaki F,2,1,3,2,3.05,3.1,2.1,1,UST
Sangmu , Suwon,0,1,1,1,2.15,3.05,3.1,0,UST
Union Espanola , Cobresal,0,1,2,2,1.8,3.3,3.8,0,UST
Manchester City , Real Madrid,2,1,4,3,1.58,3.9,4.2,1,UST
Portsmouth , Wigan,0,2,3,2,2.8,3.1,2.25,1,UST
Fleetwood , Sheffield Wed,2,1,2,3,6.0,3.9,1.45,2,UST
Sunderland , Rotherham,0,1,1,1,2.4,3.05,2.65,0,UST
Fulham , Nottingham,0,1,0,1,1.87,3.2,3.7,2,ALT
Swansea , Bournemouth,2,0,3,3,3.8,3.4,1.77,0,UST
Barnsley , Blackpool,0,1,0,2,3.1,3.2,2.05,2,UST
Kalmar , Norrkoping,0,2,1,2,2.3,3.0,2.8,2,UST
Avai , Goias Esporte,1,0,3,2,2.15,2.75,3.4,1,UST
Crystal Palace , Leeds,0,0,0,0,2.03,3.4,2.9,0,ALT
Sassuolo , Juventus,1,1,1,2,4.0,3.7,1.65,2,UST
Preston , Blackburn,1,3,1,4,2.4,3.0,2.7,2,UST
Malmo , IFK Gothenburg,0,0,1,0,1.53,3.5,5.5,1,ALT
Elfsborg , Sundsvall,1,1,3,1,1.3,4.8,7.5,1,UST
Sirius , Hammarby,0,1,0,3,4.4,3.8,1.58,2,UST
Varnamo , Degerfors,1,0,2,0,2.05,3.1,3.2,1,UST
Chiangrai Utd , Vissel Kobe,0,0,0,0,9.5,5.8,1.2,0,ALT
Yokohama FM , Sydney FC,2,0,3,0,1.5,4.3,4.5,1,UST
Brisbane Roar , Melbourne Vict,0,0,1,1,3.7,3.5,1.67,0,ALT
Tijuana , Queretaro,2,0,2,2,2.05,3.0,3.3,0,UST
Santos Laguna , Club Leon,0,0,1,1,2.0,3.2,3.2,0,ALT
Coquimbo Unido , Union La Calera,0,1,3,2,2.7,2.8,2.55,1,UST
Cruz Azul , San Luis,0,1,0,1,2.1,3.0,3.2,2,ALT
Goianiense , Botafogo,0,0,1,1,2.15,3.05,3.05,0,ALT
O'Higgins , Nublense,1,0,1,0,2.75,3.0,2.35,1,ALT
FC Cincinnati , Los Angeles FC,1,0,1,2,3.6,3.7,1.75,2,UST
NY City FC , Toronto FC,1,2,5,4,1.4,4.3,6.0,1,UST
Juventude , Cuiaba,0,0,0,1,1.95,2.8,3.9,2,ALT
Orlando City , NY Red Bulls,0,1,0,3,2.3,2.95,2.85,2,UST
Santos , America Mineiro,1,0,3,0,2.15,2.85,3.3,1,UST
Barcelona , Vallecano,0,1,0,1,1.25,4.8,9.0,2,ALT
Lazio , Milan,1,0,1,2,2.95,3.1,2.15,2,UST
Reims , Marseille,0,0,0,1,3.6,3.3,1.9,2,ALT
Rosenborg , Molde,0,0,0,0,2.25,3.3,2.65,0,ALT
Inter Miami , Atlanta Utd,1,1,2,1,2.6,3.05,2.45,1,UST
Toluca , Club Atlas,1,2,2,4,3.3,3.05,2.03,2,UST
Univ Catolica , Colo Colo,1,0,1,1,3.5,3.05,1.95,0,UST
Tromso , Sarpsborg,1,2,2,5,1.82,3.1,3.9,2,UST
Valerenga , Jerv,0,0,1,0,1.28,4.4,10.0,1,ALT
Lillestrom , Haugesund,0,0,1,0,1.53,4.1,4.5,1,ALT
Kristiansund , Hamarkameratene,1,1,2,2,2.1,3.3,2.9,0,UST
Viking FK , Bodo Glimt,1,0,2,0,2.15,3.5,2.7,1,UST
Genoa , Cagliari,0,0,1,0,2.0,3.05,3.4,1,ALT
Hertha Berlin , Stuttgart,1,0,2,0,2.8,3.0,2.3,1,UST
Helsingborg , BK Hacken,0,0,1,1,3.6,3.4,1.82,0,ALT
Liverpool , Everton,0,0,2,0,1.13,6.5,13.0,1,ALT
Lille , Strasbourg,0,0,1,0,2.6,2.9,2.55,1,ALT
Fortuna Sittard , Go Ahead Eagles,1,0,1,0,2.3,3.1,2.75,1,ALT
Negeri Sembilan , Kuala Lumpur,0,0,2,1,2.7,3.2,2.25,1,UST
Darul Takzim FC , Kawasaki F,0,3,0,5,4.5,3.4,1.65,2,UST
L City Sailors , Shandong Taishan,1,0,3,2,1.18,6.5,8.0,1,UST
Bochum , Augsburg,0,2,0,2,2.1,3.1,3.1,2,UST
Bologna , Udinese,1,1,2,2,2.95,3.1,2.15,0,UST
Empoli , Napoli,0,1,3,2,4.2,3.9,1.6,1,UST
Nice , Troyes,0,0,1,0,1.42,4.0,6.5,1,ALT
Metz , Brest,0,1,0,1,2.45,3.0,2.6,2,ALT
Nantes , Bordeaux,0,2,5,3,2.03,3.4,3.0,1,UST
Clermont , Angers SCO,0,2,2,2,2.05,3.0,3.3,0,UST
Varbergs , Mjallby AIF,0,0,0,0,2.45,2.5,3.2,0,ALT
AIK Stockholm , Djurgarden,1,0,1,0,2.03,2.85,3.6,1,ALT
Burnley , Wolverhampton,0,0,1,0,2.4,2.8,2.85,1,ALT
Chelsea , West Ham,0,0,1,0,1.35,4.5,6.0,1,ALT
Brighton , Southampton,2,1,2,2,2.03,3.05,3.4,0,UST
Feyenoord , Utrecht,0,0,2,1,1.33,4.8,6.5,1,UST
Groningen , Heracles,0,1,0,1,1.72,3.2,4.3,2,ALT
Rennes , Lorient,2,0,5,0,1.33,4.5,7.5,1,UST
Jeonnam , Melbourne City,0,0,1,1,4.8,3.5,1.58,0,ALT
Urawa Reds , Daegu,0,0,0,0,1.77,3.2,4.0,0,ALT
Salernitana , Fiorentina,1,0,2,1,3.9,3.3,1.77,1,UST
Willem II , Vitesse Arnhem,1,0,1,0,3.1,3.0,2.15,1,ALT
Thespa Kusatsu , Blaublitz Akita,0,1,0,1,1.8,3.2,3.9,2,ALT
Adelaide , Perth Glory,1,0,2,0,1.3,4.8,7.0,1,UST
Wellington , Western Sydney,1,0,1,0,2.4,3.4,2.4,1,ALT
LA Galaxy , Nashville SC,0,0,1,0,2.03,3.05,3.3,1,ALT
San Jose Quakes , Seattle Sndrs,1,2,4,3,2.5,3.2,2.45,1,UST
Portland T , Real Salt Lake,0,0,0,0,1.85,3.4,3.7,0,ALT
Guadalajara , UNAM Mexico,2,0,3,1,2.1,3.0,3.2,1,UST
Colorado Rapids , Charlotte FC,0,0,0,0,1.55,3.7,4.8,0,ALT
Austin FC , Vancouver W,2,0,3,0,1.55,3.8,4.7,1,UST
Sporting KC , Columbus Crew,0,0,0,0,2.35,3.0,2.75,0,ALT
Atl Mineiro , Coritiba,2,0,2,2,1.2,5.2,12.0,0,UST
Tigres UANL , Club America,0,1,0,2,2.15,3.1,3.0,2,UST
DC United , NE Revolution,3,1,3,2,2.2,3.4,2.65,1,UST
Fluminense , Internacional,0,0,0,1,1.77,3.0,4.4,2,ALT
Palmeiras , Corinthians,2,0,3,0,1.82,3.05,4.1,1,UST
Pachuca , Monterrey,1,0,3,0,1.9,3.1,3.6,1,UST
Minnesota Utd , Chicago Fire,0,0,3,0,1.97,3.1,3.3,1,UST
Real Betis , Valencia,1,1,1,1,2.2,2.9,3.2,0,UST
Bragantino , Sao Paulo,1,0,1,1,3.1,3.0,2.15,0,UST
Atl Paranaense , Flamengo,1,0,1,0,3.2,3.1,2.03,1,ALT
Cambuur , PSV,1,1,1,2,9.0,6.0,1.2,2,UST
Philadelphia U , Montreal Impact,1,0,1,1,1.72,3.3,4.2,0,UST
FC Dallas , Houston Dynamo,0,1,2,1,1.8,3.3,4.1,1,UST
Paris SG , Lens,0,0,1,1,1.2,6.0,9.0,0,ALT
La Serena , Curico Unido,0,2,1,3,3.05,3.05,2.15,2,UST
Verona , Sampdoria,0,1,1,1,1.6,3.6,4.5,0,UST
Waalwijk , Zwolle,0,1,0,2,2.65,3.1,2.35,2,UST
St Etienne , Monaco,1,2,1,4,4.0,3.6,1.67,2,UST
Alkmaar , Heerenveen,1,1,2,1,1.3,4.7,8.0,1,UST
Bayern Munich , Dortmund,2,0,3,1,1.28,6.0,6.0,1,UST
Brentford , Tottenham,0,0,0,0,4.5,3.8,1.58,0,ALT
Antofagasta , Huachipato,0,0,0,0,2.7,3.0,2.4,0,ALT
Stromsgodset , Sandefjord,0,2,0,5,1.58,3.6,4.8,2,UST
Inter , Roma,2,0,3,1,1.58,3.7,4.5,1,UST
Lyon , Montpellier,2,2,5,2,1.33,5.0,6.5,1,UST
Nijmegen , Ajax,0,0,0,1,9.5,5.5,1.2,2,ALT
Bournemouth , Fulham,0,0,1,1,2.35,3.2,2.6,0,ALT
Hull City , Reading,1,0,3,0,2.45,2.85,2.75,1,UST
Stoke City , QPR,1,0,1,0,1.95,3.3,3.3,1,ALT
Peterborough , Nottingham,0,1,0,1,5.2,3.8,1.5,2,ALT
Birmingham , Millwall,0,0,2,2,3.2,3.1,2.03,0,UST
Swansea , Middlesbrough,0,0,1,1,2.85,3.1,2.2,0,ALT
West Bromwich , Coventry,0,0,0,0,2.35,3.0,2.75,0,ALT
Sheffield Utd , Cardiff,0,0,1,0,1.48,3.7,6.0,1,ALT
Derby , Bristol City,0,2,1,3,2.6,2.95,2.5,2,UST
Odd BK , Aalesund,0,2,2,3,1.95,3.5,3.1,2,UST
Manchester City , Watford,3,1,5,1,1.09,8.5,13.0,1,UST
Norwich , Newcastle,0,2,0,3,3.4,3.1,2.0,2,UST
Leicester , Aston Villa,0,0,0,0,2.5,3.3,2.4,0,ALT
Charlton , Shrewsbury,0,0,2,0,2.3,3.05,2.8,1,ALT
Wycombe , Sheffield Wed,0,0,1,0,2.65,3.1,2.35,1,ALT
MK Dons , Morecambe,1,0,2,0,1.48,3.9,5.2,1,UST
Crewe Alexandra , Ipswich,0,1,1,1,5.2,3.7,1.53,0,UST
Portsmouth , Gillingham,2,1,3,1,1.77,3.3,3.9,1,UST
Cheltenham , Bolton,0,0,1,2,2.55,3.3,2.35,2,UST
Fleetwood , AFC Wimbledon,0,1,1,1,2.1,3.05,3.1,0,UST
Wigan , Plymouth,0,0,1,1,1.82,3.1,4.0,0,ALT
Rotherham , Oxford United,1,1,2,1,1.8,3.4,3.7,1,UST
Accrington , Lincoln City,1,0,2,1,2.0,3.4,3.05,1,UST
Sunderland , Cambridge,3,1,5,1,1.25,5.2,9.0,1,UST
Doncaster , Burton Albion,1,0,2,0,2.85,3.1,2.2,1,UST
Petaling Jaya , Sarawak United,0,1,1,3,1.97,3.1,3.4,2,UST
Pahang , Penang,1,1,3,1,1.9,3.2,3.5,1,UST
RB Leipzig , Union Berlin,0,0,1,2,1.55,3.5,5.2,2,UST
Freiburg , Monchengladbach,0,2,3,3,1.75,3.7,3.7,0,UST
Greuther Furth , Leverkusen,1,2,1,4,9.0,5.2,1.25,2,UST
E Frankfurt , Hoffenheim,1,1,2,2,2.15,3.3,2.85,0,UST
Cologne , Bielefeld,2,1,3,1,1.37,4.3,6.5,1,UST
Torino , Spezia,1,0,2,1,1.63,3.4,4.7,1,UST
Venezia , Atalanta,0,1,1,3,6.5,4.3,1.37,2,UST
Luton , Blackpool,1,0,1,1,1.85,3.3,3.6,0,UST
Arsenal , Manchester Utd,2,1,3,1,2.15,3.6,2.6,1,UST
Newcastle Jets , Central Coast,0,3,2,4,2.5,3.3,2.4,2,UST
Mito Hollyhock , R Yamaguchi,0,1,3,2,2.1,3.1,3.1,1,UST
Tochigi SC , FC Yokohama,0,0,0,0,4.0,2.95,1.87,0,ALT
Jubilo Iwata , FC Tokyo,0,0,2,1,2.65,3.05,2.4,1,UST
Kashima Antlers , Oita Trinita,0,0,3,0,1.23,5.0,9.0,1,UST
Sagan Tosu , Kyoto Sanga,1,0,3,0,1.85,3.1,3.8,1,UST
Albirex Niigata , Varen Nagasaki,0,0,2,1,2.4,2.9,2.8,1,UST
M Yamagata , Omiya Ardija,2,0,2,0,1.58,3.6,4.7,1,UST
Ventforet Kofu , Machida Zelvia,0,0,1,0,3.7,2.9,1.97,1,ALT
Tokyo Verdy , JEF Utd Chiba,0,0,1,1,3.05,2.95,2.2,0,ALT
Vegalta Sendai , FC Ryukyu,0,0,2,0,1.67,3.6,4.1,1,ALT
Avispa Fukuoka , Shonan Bellmare,0,1,2,1,2.4,2.7,2.95,1,UST
Shimizu S Pulse , Nagoya Grampus,0,0,0,1,2.3,2.8,3.05,2,ALT
Cerezo Osaka , Gamba Osaka,0,0,0,0,1.65,3.5,4.3,0,ALT
S Hiroshima , Tokushima V,3,0,4,0,1.48,3.7,6.0,1,UST
C Sapporo , Kashiwa Reysol,1,0,1,2,1.97,3.4,3.05,2,UST
Juarez , Mazatlan,0,1,0,2,2.75,2.7,2.55,2,UST
Puebla , Necaxa,0,0,0,1,2.4,2.9,2.75,2,ALT
Everton VDM , Palestino Chile,0,0,0,0,2.2,2.9,3.1,0,ALT
Huddersfield , Barnsley,2,0,2,1,1.48,4.0,5.2,1,UST
Wolfsburg , Mainz,5,0,5,0,2.1,3.1,3.05,1,UST
Twente Enschede , Sparta Rotterdam,1,0,2,0,1.45,3.7,6.5,1,UST
Terengganu , Selangor,1,0,2,0,2.3,3.4,2.55,1,UST
Sydney FC , Yokohama FM,0,0,0,1,4.5,3.6,1.63,2,ALT
Vissel Kobe , Chiangrai Utd,4,0,6,0,1.55,3.5,5.2,1,UST
Roasso Kumamoto , Fagiano Okayama,0,1,1,1,3.05,2.8,2.3,0,UST
Macarthur , Melbourne Vict,0,1,1,4,3.8,3.5,1.75,2,UST
Queretaro , Cruz Azul,0,0,0,1,2.5,2.95,2.65,2,ALT
Sociedad , Barcelona,0,1,0,1,3.05,3.2,2.05,2,ALT
Burnley , Southampton,2,0,2,0,2.5,3.05,2.55,1,UST
Bodo Glimt , Viking FK,2,1,2,1,1.5,4.2,4.5,1,UST
Cadiz , Athletic Bilbao,0,3,2,3,2.95,2.8,2.35,2,UST
Varnamo , Malmo,0,0,0,0,5.0,3.7,1.53,0,ALT
Degerfors , Hammarby,0,1,0,1,4.3,4.1,1.55,2,ALT
Helsingborg , Elfsborg,1,0,1,0,4.3,3.7,1.58,1,ALT
Espanyol , Vallecano,0,1,0,1,2.55,2.85,2.65,2,ALT
Levante , Sevilla,1,2,2,3,3.4,3.5,1.82,2,UST
Daegu , Urawa Reds,0,0,1,0,5.5,3.7,1.48,1,ALT
Melbourne City , Jeonnam,2,1,2,1,1.6,3.6,4.5,1,UST
Kawasaki F , Darul Takzim FC,0,0,0,0,1.58,4.0,4.2,0,ALT
Shandong Taishan , L City Sailors,0,0,0,0,6.5,5.8,1.22,0,ALT
Monterrey , Club Atlas,0,0,0,0,1.92,2.95,3.8,0,ALT
Club America , Club Leon,1,0,2,0,1.65,3.5,4.3,1,UST
San Luis , UNAM Mexico,1,0,2,0,1.8,3.2,3.9,1,UST
